spec_path,disease_label,sound_label,source
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c000.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c001.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c002.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c003.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c004.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c005.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c006.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c007.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c008.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c009.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c010.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Al_sc_Meditron_c011.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c000.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c001.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c002.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c003.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c004.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c005.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c006.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c007.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c008.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c009.npy,-1,0,icbhi
./data/spectrograms\icbhi_101_1b1_Pr_sc_Meditron_c010.npy,-1,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c000.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c001.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c002.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c003.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c004.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c005.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c006.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c007.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c008.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c009.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c010.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c011.npy,0,0,icbhi
./data/spectrograms\icbhi_102_1b1_Ar_sc_Meditron_c012.npy,0,0,icbhi
./data/spectrograms\icbhi_103_2b2_Ar_mc_LittC2SE_c000.npy,3,2,icbhi
./data/spectrograms\icbhi_103_2b2_Ar_mc_LittC2SE_c001.npy,3,0,icbhi
./data/spectrograms\icbhi_103_2b2_Ar_mc_LittC2SE_c002.npy,3,2,icbhi
./data/spectrograms\icbhi_103_2b2_Ar_mc_LittC2SE_c003.npy,3,2,icbhi
./data/spectrograms\icbhi_103_2b2_Ar_mc_LittC2SE_c004.npy,3,2,icbhi
./data/spectrograms\icbhi_103_2b2_Ar_mc_LittC2SE_c005.npy,3,0,icbhi
./data/spectrograms\icbhi_104_1b1_Al_sc_Litt3200_c000.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Al_sc_Litt3200_c001.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Al_sc_Litt3200_c002.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Al_sc_Litt3200_c003.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Al_sc_Litt3200_c004.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Al_sc_Litt3200_c005.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c000.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c001.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c002.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c003.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c004.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c005.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c006.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c007.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c008.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c009.npy,1,2,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c010.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c011.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c012.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ar_sc_Litt3200_c013.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ll_sc_Litt3200_c000.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ll_sc_Litt3200_c001.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ll_sc_Litt3200_c002.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ll_sc_Litt3200_c003.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ll_sc_Litt3200_c004.npy,1,1,icbhi
./data/spectrograms\icbhi_104_1b1_Ll_sc_Litt3200_c005.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Ll_sc_Litt3200_c006.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Lr_sc_Litt3200_c000.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Lr_sc_Litt3200_c001.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Lr_sc_Litt3200_c002.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Lr_sc_Litt3200_c003.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Lr_sc_Litt3200_c004.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c000.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c001.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c002.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c003.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c004.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c005.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c006.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c007.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c008.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c009.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c010.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c011.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pl_sc_Litt3200_c012.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c000.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c001.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c002.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c003.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c004.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c005.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c006.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c007.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c008.npy,1,0,icbhi
./data/spectrograms\icbhi_104_1b1_Pr_sc_Litt3200_c009.npy,1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c000.npy,-1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c001.npy,-1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c002.npy,-1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c003.npy,-1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c004.npy,-1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c005.npy,-1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c006.npy,-1,0,icbhi
./data/spectrograms\icbhi_105_1b1_Tc_sc_Meditron_c007.npy,-1,0,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c000.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c001.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c002.npy,1,0,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c003.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c004.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c005.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c006.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c007.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pl_mc_LittC2SE_c008.npy,1,1,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c000.npy,1,2,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c001.npy,1,2,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c002.npy,1,0,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c003.npy,1,2,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c004.npy,1,2,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c005.npy,1,2,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c006.npy,1,2,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c007.npy,1,2,icbhi
./data/spectrograms\icbhi_106_2b1_Pr_mc_LittC2SE_c008.npy,1,0,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c000.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c001.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c002.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c003.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c004.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c005.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c006.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Al_mc_AKGC417L_c007.npy,1,0,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c000.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c001.npy,1,3,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c002.npy,1,3,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c003.npy,1,3,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c004.npy,1,3,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c005.npy,1,3,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c006.npy,1,3,icbhi
./data/spectrograms\icbhi_107_2b3_Ar_mc_AKGC417L_c007.npy,1,3,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c000.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c001.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c002.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c003.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c004.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c005.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c006.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Ll_mc_AKGC417L_c007.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Lr_mc_AKGC417L_c000.npy,1,0,icbhi
./data/spectrograms\icbhi_107_2b3_Lr_mc_AKGC417L_c001.npy,1,1,icbhi
./data/spectrograms\icbhi_107_2b3_Lr_mc_AKGC417L_c002.npy,1,1,icbhi
